,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
11,tensor(0.00097453),tensor(0.00275995),tensor(0.00317670),tensor(-0.00108380),tensor(-0.00056740),tensor(0.00045580),tensor(-8.10497077e-05),tensor(0.00039823),tensor(0.00119789),tensor(0.00025715),tensor(0.00319716),tensor(0.00224530),tensor(0.00297038),tensor(0.00112976),tensor(-0.00167690),tensor(-0.00230971),tensor(-0.01521907)
12,tensor(0.00052831),tensor(0.00225297),tensor(0.00416498),tensor(-0.00069481),tensor(0.00066026),tensor(0.00312490),tensor(0.00036681),tensor(0.00204975),tensor(0.00329051),tensor(0.00437849),tensor(0.00350144),tensor(0.00213032),tensor(0.00291027),tensor(0.00299061),tensor(0.00040833),tensor(-7.60880430e-05),tensor(0.00478581)
13,tensor(0.00075572),tensor(0.00527940),tensor(0.00477511),tensor(0.00026441),tensor(0.00151711),tensor(0.00553009),tensor(-0.00074229),tensor(-0.00086764),tensor(-2.70673377e-06),tensor(0.00086933),tensor(-0.00132735),tensor(0.00026590),tensor(0.00087738),tensor(0.00207695),tensor(0.00132350),tensor(0.00158613),tensor(-0.01469429)
14,tensor(0.00033756),tensor(0.00263460),tensor(0.00422875),tensor(-0.00102146),tensor(0.00086800),tensor(0.00282829),tensor(0.00037204),tensor(0.00213145),tensor(0.00338732),tensor(0.00405183),tensor(0.00105614),tensor(0.00010755),tensor(-0.00087626),tensor(0.00262371),tensor(-0.00119424),tensor(-0.00206764),tensor(-0.01255778)
15,tensor(-3.48954600e-05),tensor(0.00130667),tensor(0.00329933),tensor(0.00017378),tensor(-0.00193233),tensor(-0.00243679),tensor(-5.34793544e-05),tensor(-5.67836796e-05),tensor(0.00017466),tensor(-0.00057181),tensor(0.00049373),tensor(0.00107702),tensor(0.00116862),tensor(-0.00258771),tensor(0.00160669),tensor(0.00201217),tensor(0.00249190)
16,tensor(0.00131126),tensor(0.00431328),tensor(0.00284909),tensor(0.00026531),tensor(0.00458012),tensor(0.00425278),tensor(-0.00025724),tensor(0.00082145),tensor(0.00197212),tensor(0.00295955),tensor(0.00260138),tensor(0.00155972),tensor(0.00176580),tensor(0.00273875),tensor(0.00028486),tensor(0.00055177),tensor(0.01186605)
17,tensor(-0.00064072),tensor(-0.00048852),tensor(0.00195958),tensor(-0.00147607),tensor(-0.00204954),tensor(0.00208990),tensor(0.00106896),tensor(0.00263768),tensor(0.00276515),tensor(0.00272324),tensor(-0.00214114),tensor(0.00067930),tensor(0.00067233),tensor(0.00139996),tensor(-0.00029704),tensor(-0.00169886),tensor(-0.01705205)
18,tensor(0.00136348),tensor(0.00427623),tensor(0.00096581),tensor(0.00041344),tensor(0.00264843),tensor(-0.00335588),tensor(-0.00068704),tensor(5.37742744e-06),tensor(0.00142285),tensor(0.00226906),tensor(0.00201578),tensor(0.00133315),tensor(0.00176013),tensor(0.00210723),tensor(-0.00034598),tensor(4.17848642e-05),tensor(-0.00476166)
19,tensor(-0.00033682),tensor(-0.00160037),tensor(-0.00144775),tensor(-0.00133359),tensor(-0.00280097),tensor(-0.00178836),tensor(0.00088126),tensor(0.00236217),tensor(0.00302157),tensor(0.00251379),tensor(0.00123577),tensor(0.00174889),tensor(0.00070746),tensor(0.00061486),tensor(-0.00082722),tensor(-0.00130744),tensor(0.00452900)
20,tensor(-0.00052582),tensor(0.00104878),tensor(3.32417403e-05),tensor(-7.01210374e-05),tensor(-0.00058175),tensor(-0.00537059),tensor(0.00055087),tensor(0.00243217),tensor(0.00282076),tensor(0.00242329),tensor(0.00069508),tensor(-0.00020041),tensor(-0.00063600),tensor(0.00117037),tensor(0.00094862),tensor(0.00026917),tensor(-0.01370490)
