,0
0,14.492416
1,14.495291
2,14.500136
3,14.507194
4,14.516271
5,14.527484
6,14.540917
7,14.555704
8,14.571514
9,14.587542
10,14.603065
11,14.617808
12,14.631646
13,14.643897
14,14.654775
15,14.664594
16,14.672807
17,14.679875
18,14.684964
19,14.688764
20,14.691742
21,14.696272
22,14.700121
23,14.703673
24,14.707064
25,14.709794
26,14.712309
27,14.71298
28,14.712918
29,14.712539
30,14.712864
31,14.712612
32,14.712226
33,14.712036
34,14.711494
35,14.710963
36,14.710942
37,14.710493
38,14.710056
39,14.709859
40,14.709291
41,14.708762
42,14.708693
43,14.708158
44,14.70764
45,14.707391
46,14.706729
47,14.706097
48,14.7062235
49,14.705846
50,14.705479
51,14.705511
52,14.705089
53,14.7046995
54,14.704758
55,14.704279
56,14.703825
57,14.703623
58,14.702908
59,14.7022295
60,14.702231
61,14.701638
62,14.701065
63,14.700972
64,14.700292
65,14.699638
66,14.699646
67,14.699018
68,14.698421
69,14.698198
70,14.697387
71,14.6966305
72,14.696336
73,14.695351
74,14.694352
75,14.693958
76,14.69298
77,14.6921
78,14.691734
79,14.690733
80,14.689819
81,14.689452
82,14.688417
83,14.687455
84,14.687372
85,14.68657
86,14.685834
87,14.685497
88,14.68433
89,14.683713
90,14.684551
91,14.684396
92,14.684187
93,14.68458
94,14.6842
95,14.683892
96,14.687119
97,14.68941
98,14.691619
99,14.694883
100,14.697134
101,14.69934
102,14.701267
103,14.702475
104,14.703836
105,14.705721
106,14.706761
107,14.707882
108,14.710501
109,14.711849
110,14.713003
111,14.714685
112,14.715412
113,14.716134
114,14.7173605
115,14.717767
116,14.718265
117,14.7190275
118,14.719071
119,14.719281
120,14.719575
121,14.719148
122,14.718887
123,14.718652
124,14.717849
125,14.717288
126,14.717208
127,14.716534
128,14.716067
129,14.715606
130,14.714606
131,14.713856
132,14.713878
133,14.713316
134,14.7129345
135,14.711742
136,14.710192
137,14.708964
138,14.708267
139,14.707096
140,14.706159
141,14.705397
142,14.704182
143,14.703194
144,14.700563
145,14.697866
146,14.695663
147,14.694421
148,14.698977
149,14.695238
150,14.692744
151,14.69035
152,14.68845
153,14.687722
154,14.686767
155,14.686041
156,14.685908
157,14.685368
158,14.684938
159,14.685653
160,14.6858015
161,14.685968
162,14.686939
163,14.687377
164,14.6878
165,14.688401
166,14.688414
167,14.688394
168,14.687655
169,14.686632
170,14.685702
171,14.704747
172,14.69744
173,14.69217
174,14.687296
175,14.683611
176,14.680834
177,14.707815
178,14.69837
179,14.691318
180,14.683134
181,14.677248
182,14.673184
183,14.697089
184,14.701476
185,14.702961
186,14.691025
187,14.683194
188,14.677948
189,14.692349
190,14.704781
191,14.705454
192,14.692867
193,14.6843195
194,14.67841
195,14.699079
196,14.69727
197,14.697561
198,14.685626
199,14.678001
200,14.673035
201,14.705705
202,14.705274
203,14.880735
204,14.839338
205,14.807327
206,14.782549
207,14.802061
208,14.770478
209,14.768668
210,14.749502
211,14.737447
212,14.7303705
213,14.909769
214,14.880436
215,14.874948
216,14.849575
217,14.826761
218,14.809141
219,14.953722
220,14.941457
221,14.916777
222,14.884443
223,14.987171
224,14.956182
225,14.9587345
226,15.032434
227,15.0043745
228,14.972365
229,14.942681
230,15.023571
231,15.0243635
232,15.085075
233,15.073919
234,15.040231
235,15.010492
236,15.075565
237,15.073877
238,15.115363
239,15.102072
240,15.084569
241,15.140224
242,15.112816
243,15.143802
244,15.160442
245,15.077644
246,15.123644
247,15.097923
248,15.061772
